"When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...?",Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
n/a,n/a,Man,Woman, 15-24, 25-39, 40-54, 55 +, 15-24, 25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Frequently,3371,1979,1393,344,719,974,1334,344,472,498,723,596,512,225,9,347,356,1116,989,910,317,1110,1600,301,412,673,373,460,120,192,840,301,1867,412,659,207,181,894,153,1098,1180,592,1217,669,894,208,614,2470,541,390,1694,633,54,2422,949,884,1428,1059,2791,303,254,984,70,2283,33,1994,873,452,52,3013,354,5,0,1829,1457,2260,1064,1386,1020,702,3371,0,0,2939,415,1890,811,651
Frequently,0.12,0.15,0.1,0.09,0.11,0.14,0.12,0.09,0.11,0.11,0.15,0.15,0.13,0.08,0.11,0.1,0.1,0.14,0.13,0.1,0.07,0.09,0.19,0.12,0.19,0.22,0.11,0.08,0.08,0.11,0.11,0.12,0.13,0.12,0.11,0.11,0.08,0.1,0.09,0.13,0.13,0.1,0.13,0.13,0.11,0.1,0.09,0.13,0.08,0.1,0.13,0.25,0.25,0.13,0.1,0.11,0.12,0.15,0.14,0.11,0.06,0.09,0.05,0.14,0.05,0.6,0.09,0.06,0.01,0.78,0.03,- ,- ,0.16,0.1,0.14,0.1,0.19,0.1,0.15,1,- ,- ,0.13,0.1,0.17,0.07,0.14
Occasionally,13268,6901,6368,1505,3125,3600,5038,1505,1927,2349,2449,2029,1995,1015,18,1433,1452,4040,3860,3916,1716,5657,4586,1068,1135,1714,1926,2803,565,622,3436,1068,7274,1501,2605,844,879,3668,661,4304,4471,2421,4630,2514,3703,716,3074,9159,2540,1860,6879,1371,117,9187,4081,3840,5902,3519,10199,1358,1480,4871,495,7748,155,1293,5709,4066,2201,863,11300,1106,0,6322,6392,8276,4666,3849,4909,2462,0,13268,0,11518,1629,5891,5253,1992
Occasionally,0.47,0.51,0.44,0.41,0.48,0.51,0.46,0.41,0.47,0.51,0.51,0.49,0.48,0.39,0.22,0.4,0.4,0.5,0.51,0.45,0.36,0.48,0.54,0.44,0.52,0.56,0.57,0.47,0.37,0.35,0.45,0.44,0.51,0.45,0.44,0.45,0.37,0.43,0.39,0.5,0.51,0.43,0.49,0.49,0.48,0.34,0.46,0.5,0.36,0.46,0.53,0.54,0.53,0.49,0.44,0.47,0.47,0.48,0.5,0.5,0.36,0.48,0.35,0.49,0.26,0.39,0.57,0.54,0.31,0.22,0.93,0.23,- ,0.55,0.44,0.53,0.42,0.51,0.5,0.51,- ,1,- ,0.49,0.39,0.53,0.46,0.41
Never,11258,4580,6678,1770,2586,2433,4469,1770,1683,1726,1610,1482,1623,1364,53,1758,1811,2944,2656,3848,2635,4971,2306,1046,634,665,1062,2710,838,948,3355,1046,4988,1406,2642,828,1289,3910,848,3225,3169,2578,3618,1935,3126,1192,3048,6698,3933,1744,4396,520,50,7006,4252,3442,5120,2674,7402,1035,2353,4252,821,5779,406,54,3360,3025,4819,0,492,3736,7030,3274,6815,5076,5384,2264,3872,1619,0,0,11258,8979,2170,3298,5246,2186
Never,0.4,0.34,0.46,0.49,0.4,0.35,0.41,0.49,0.41,0.37,0.34,0.36,0.39,0.52,0.63,0.49,0.49,0.36,0.35,0.44,0.56,0.42,0.27,0.43,0.29,0.22,0.31,0.45,0.55,0.54,0.44,0.43,0.35,0.42,0.44,0.44,0.54,0.46,0.51,0.37,0.36,0.46,0.38,0.38,0.4,0.56,0.45,0.36,0.56,0.44,0.34,0.21,0.22,0.38,0.45,0.42,0.41,0.37,0.36,0.38,0.57,0.42,0.59,0.37,0.68,0.01,0.34,0.4,0.67,- ,0.04,0.76,0.99,0.29,0.46,0.33,0.48,0.3,0.4,0.34,- ,- ,1,0.38,0.51,0.3,0.46,0.45
DK,133,64,69,22,39,24,48,22,25,26,13,11,12,26,3,27,30,20,30,53,27,50,26,20,3,4,19,32,5,8,42,20,48,14,42,3,24,56,14,24,37,39,26,25,44,9,26,78,36,16,54,6,0,76,57,42,52,36,71,8,45,77,14,38,5,2,40,31,59,0,7,37,89,20,41,31,38,11,28,16,0,0,0,105,18,27,64,19
DK,0.01,- ,- ,0.01,0.01,- ,0.01,0.01,0.01,0.01,- ,- ,- ,0.01,0.04,0.01,0.01,- ,0.01,0.01,0.01,0.01,- ,0.01,- ,- ,0.01,- ,- ,- ,- ,0.01,0.01,0.01,0.01,- ,0.01,0.01,0.01,- ,- ,0.01,- ,- ,0.01,- ,- ,0.01,- ,- ,- ,- ,- ,- ,0.01,- ,- ,- ,- ,0.01,0.01,0.01,0.01,- ,0.01,- ,- ,- ,0.01,- ,- ,0.01,0.01,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.01,- 
