How old are you?,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
n/a,n/a,Man,Woman, 15-24, 25-39, 40-54, 55 +, 15-24, 25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
15-24,3640,1875,1766,3640,0,0,0,3640,0,0,0,0,0,0,0,0,0,0,0,3640,112,967,328,2167,51,103,260,652,110,294,3,2167,207,668,2539,33,3,2418,157,638,237,403,595,880,1762,230,828,2341,661,422,1774,400,18,1719,1922,925,1621,1086,3556,57,25,1633,35,1936,37,377,1570,844,850,366,1271,690,1313,1456,1755,1955,1342,922,1143,454,344,1505,1770,3278,343,1632,1535,389
15-24,0.13,0.14,0.12,1,- ,- ,- ,1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.42,0.03,0.08,0.04,0.89,0.02,0.03,0.08,0.11,0.07,0.17,- ,0.89,0.01,0.2,0.43,0.02,- ,0.28,0.09,0.07,0.03,0.07,0.06,0.17,0.23,0.11,0.12,0.13,0.09,0.1,0.14,0.16,0.08,0.09,0.21,0.11,0.13,0.15,0.17,0.02,0.01,0.16,0.02,0.12,0.06,0.11,0.16,0.11,0.12,0.09,0.1,0.14,0.19,0.13,0.12,0.13,0.12,0.12,0.12,0.09,0.1,0.11,0.16,0.14,0.08,0.15,0.13,0.08
25-39,6470,3260,3209,0,6470,0,0,0,4107,2363,0,0,0,0,0,0,0,0,1384,5086,286,2905,2931,253,609,1160,1294,2028,380,668,78,253,2938,1494,1761,220,16,1613,384,1460,2972,898,1575,1641,2356,518,1784,4034,1463,988,3131,580,66,3645,2825,1724,2855,1890,6075,293,92,3361,46,2996,67,787,2594,1722,1367,796,2903,1132,1639,2754,3337,3655,2531,1776,2340,1058,719,3125,2586,5570,865,2722,2683,921
25-39,0.23,0.24,0.22,- ,1,- ,- ,- ,1,0.51,- ,- ,- ,- ,- ,- ,- ,- ,0.18,0.58,0.06,0.25,0.34,0.1,0.28,0.38,0.38,0.34,0.25,0.38,0.01,0.1,0.21,0.45,0.29,0.12,0.01,0.19,0.23,0.17,0.33,0.16,0.17,0.32,0.3,0.24,0.27,0.22,0.21,0.25,0.24,0.23,0.3,0.2,0.3,0.21,0.23,0.26,0.3,0.11,0.02,0.33,0.03,0.19,0.11,0.24,0.26,0.23,0.19,0.21,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.24,0.24,0.22,0.21,0.24,0.23,0.24,0.2,0.24,0.24,0.19
40-54,7031,3520,3511,0,0,7031,0,0,0,2237,4794,0,0,0,0,0,0,880,6152,0,667,3545,2705,11,964,1238,1327,2279,382,523,307,11,4622,741,883,663,99,1034,610,1308,4054,901,1621,1589,2920,630,1901,4367,1713,960,3365,770,63,4948,2084,2088,3149,1791,5940,727,340,2505,79,4361,86,974,2642,1943,1473,1088,3338,1232,1373,2980,3788,4024,2847,1928,2573,1288,974,3600,2433,5925,1045,2849,2850,1226
40-54,0.25,0.26,0.24,- ,- ,1,- ,- ,- ,0.49,1,- ,- ,- ,- ,- ,- ,0.11,0.82,- ,0.14,0.3,0.32,0.01,0.44,0.41,0.39,0.38,0.25,0.29,0.04,0.01,0.33,0.22,0.15,0.35,0.04,0.12,0.37,0.15,0.46,0.16,0.17,0.31,0.38,0.3,0.28,0.24,0.24,0.24,0.26,0.3,0.28,0.26,0.22,0.26,0.25,0.24,0.29,0.27,0.08,0.25,0.06,0.28,0.15,0.29,0.26,0.26,0.21,0.28,0.28,0.25,0.19,0.26,0.26,0.26,0.25,0.26,0.26,0.27,0.29,0.27,0.21,0.25,0.25,0.26,0.25,0.25
55+,10890,4869,6021,0,0,0,10890,0,0,0,0,4118,4141,2630,84,3565,3649,7240,0,0,3629,4371,2554,4,560,555,498,1045,657,286,7285,4,6410,430,765,966,2254,3463,523,5246,1594,3428,5700,1034,728,746,2248,7662,3213,1640,4752,778,75,8381,2509,3472,4878,2521,4893,1627,3674,2686,1240,6556,408,1205,3176,3066,3442,1625,4640,1830,2795,4254,5824,6008,4432,2884,3771,1999,1334,5038,4469,8768,1980,3903,4306,2312
55+,0.39,0.36,0.42,- ,- ,- ,1,- ,- ,- ,- ,1,1,1,1,1,1,0.89,- ,- ,0.77,0.37,0.3,- ,0.26,0.18,0.15,0.17,0.43,0.16,0.95,- ,0.45,0.13,0.13,0.51,0.95,0.41,0.31,0.61,0.18,0.61,0.6,0.2,0.09,0.35,0.33,0.41,0.46,0.41,0.36,0.31,0.34,0.45,0.27,0.42,0.39,0.35,0.24,0.6,0.89,0.26,0.89,0.41,0.68,0.36,0.32,0.4,0.48,0.42,0.38,0.38,0.39,0.37,0.39,0.38,0.4,0.38,0.38,0.42,0.4,0.38,0.4,0.37,0.47,0.35,0.38,0.48
Refus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refusal,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Moyenne/Average,48.3,47.1,49.5,20,32.3,47.1,68.2,20,29.6,39.4,49.4,59.5,69.1,80.1,91.8,77.8,78.1,62.1,44.6,26.3,64.3,48.5,46.7,20.1,46.4,43.3,41.2,41.5,50,39,70.1,20.1,52.9,36.8,32.9,54.4,73,46,47.4,55.4,44.5,57.5,55.6,40.9,37.7,47.5,46.4,49.4,51.4,48.9,47.5,45.8,47.5,51.4,42.2,49.9,48.5,46.3,42.1,57.1,69.1,42.5,71,49.6,60.6,47.8,45.1,49.2,52.2,50,48.5,47.9,47.5,47.8,48.8,48.4,48.7,48.1,48.5,50.3,49.1,48.3,48.2,47.6,51.7,46.7,47.9,52.1
