"In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)",Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
-,-,Man,Woman,15-24,25-39,40-54,55 +,15-24,25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
LEFT,7511,3759,3751,922,1776,1928,2884,922,1139,1202,1364,1188,1119,577,22,824,846,2308,2031,2326,1056,2723,2835,758,586,1060,920,1399,298,479,2009,758,3664,983,1715,521,555,2408,383,2345,2302,1611,2636.0,1347.0,1916,517,1759,5072,1812,1160,3464,838,54,4961,2550,1860,3294,2352,5869,618,869,2441,305,4647,117,1396,2887,1891,1337,1631,3406,1320,1154,3440,3781,4523,2844,7511,0,0,1386,3849,2264,6376,1104,3519,2670,1237
LEFT,0.27,0.28,0.26,0.25,0.27,0.28,0.27,0.25,0.28,0.26,0.29,0.29,0.27,0.22,0.26,0.23,0.23,0.29,0.27,0.27,0.22,0.23,0.33,0.31,0.27,0.35,0.27,0.23,0.2,0.27,0.26,0.31,0.26,0.3,0.29,0.28,0.23,0.28,0.23,0.27,0.26,0.29,0.28,0.26,0.25,0.24,0.26,0.28,0.26,0.29,0.27,0.33,0.25,0.27,0.27,0.23,0.27,0.32,0.29,0.23,0.21,0.24,0.22,0.3,0.2,0.42,0.29,0.25,0.19,0.42,0.28,0.27,0.16,0.3,0.26,0.29,0.25,1,- ,- ,0.41,0.29,0.2,0.27,0.26,0.32,0.23,0.25
(5-6)  CENTRE,9828,4762,5066,1143,2340,2573,3771,1143,1470,1705,1738,1443,1412,917,15,1249,1264,2830,2736,2998,1649,4361,2959,729,703,1099,1232,2306,526,521,2712,729,5254,1108,1970,663,763,2791,605,3094,3268,1939,3337.0,1833.0,2720,627,2176,6877,2409,1338,4918,813,78,6623,3206,3161,4407,2258,7313,1047,1273,3151,441,6067,169,924,3626,2768,2510,1128,4608,1802,2290,4380,4945,5997,3544,0,9828,0,1020,4909,3872,8569,1222,3950,4262,1487
(5-6)  CENTRE,0.35,0.35,0.35,0.31,0.36,0.37,0.35,0.31,0.36,0.37,0.36,0.35,0.34,0.35,0.18,0.35,0.35,0.35,0.36,0.34,0.35,0.37,0.35,0.3,0.32,0.36,0.36,0.38,0.34,0.29,0.36,0.3,0.37,0.33,0.33,0.35,0.32,0.33,0.36,0.36,0.37,0.34,0.35,0.36,0.35,0.29,0.32,0.37,0.34,0.33,0.38,0.32,0.35,0.35,0.34,0.38,0.35,0.31,0.36,0.39,0.31,0.31,0.31,0.38,0.28,0.28,0.36,0.36,0.35,0.29,0.38,0.37,0.32,0.38,0.34,0.38,0.32,- ,1,- ,0.3,0.37,0.35,0.36,0.29,0.36,0.37,0.31
RIGHT,4799,2594,2205,454,1058,1288,1999,454,698,772,877,708,798,492,16,674,691,1471,1373,1264,735,2127,1580,242,512,622,671,930,198,227,1397,242,2743,535,760,309,407,1264,211,1631,1648,956,1685.0,860.0,1298,289,1139,3284,935,697,2373,606,63,3619,1179,1484,2136,1178,3482,450,776,2041,242,2428,88,742,1711,1273,1072,815,2259,826,899,2070,2509,2994,1687,0,0,4799,702,2462,1619,4145,620,1831,1775,1128
RIGHT,0.17,0.19,0.15,0.13,0.16,0.18,0.18,0.13,0.17,0.17,0.18,0.17,0.19,0.19,0.2,0.19,0.19,0.18,0.18,0.15,0.16,0.18,0.19,0.1,0.23,0.2,0.2,0.16,0.13,0.13,0.18,0.1,0.19,0.16,0.13,0.16,0.17,0.15,0.13,0.19,0.18,0.17,0.18,0.17,0.17,0.14,0.17,0.18,0.13,0.17,0.18,0.24,0.29,0.19,0.13,0.18,0.17,0.16,0.17,0.16,0.19,0.2,0.17,0.15,0.15,0.22,0.17,0.17,0.15,0.21,0.19,0.17,0.13,0.18,0.17,0.19,0.15,- ,- ,1,0.21,0.19,0.14,0.18,0.15,0.16,0.16,0.23
Refusal,2397,1021,1376,294,487,585,1031,294,266,413,394,322,388,321,18,402,420,678,651,648,638,1070,451,176,233,116,270,505,197,215,687,176,1142,242,502,154,276,791,140,692,692,487,800.0,461.0,649,231,801,1184,647,338,1029,144,10,1513,884,646,1041,689,1501,262,470,985,165,1145,103,134,724,673,866,141,846,419,992,597,1534,749,1417,0,0,0,106,915,1342,1733,608,652,1098,429
Refusal,0.09,0.08,0.09,0.08,0.08,0.08,0.09,0.08,0.06,0.09,0.08,0.08,0.1,0.12,0.21,0.11,0.11,0.08,0.09,0.07,0.14,0.09,0.05,0.07,0.11,0.04,0.08,0.09,0.13,0.12,0.09,0.07,0.08,0.07,0.08,0.08,0.12,0.09,0.08,0.08,0.08,0.09,0.08,0.09,0.08,0.11,0.12,0.06,0.09,0.09,0.08,0.06,0.04,0.08,0.1,0.08,0.08,0.1,0.07,0.1,0.11,0.1,0.12,0.07,0.17,0.04,0.07,0.09,0.12,0.04,0.07,0.08,0.14,0.05,0.1,0.05,0.13,- ,- ,- ,0.03,0.07,0.12,0.07,0.14,0.06,0.1,0.09
